Measure,Country,Sex,Age.Range,Cause,Metric,Year,Rate,GDP_ProCap_USD2010,UnemploymentRate,SuicCrime,Geo_Region,HeatDeaths,HeatWave,CivilWar,ViolentEvent,Unemployment_lag1year,Unemployment_lag2year,GDP_lag1year,GDP_lag2year,Income_2010
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1991,1.008253915,2654.788675,5.495999813,Not a Crime,Latin America & Caribbean,0,Normal,No,No,NA,NA,NA,NA,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1992,1.099258851,2589.343113,5.553999901,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.495999813,NA,2654.788675,NA,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1993,1.13171186,2673.740734,5.670000076,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.553999901,5.495999813,2589.343113,2654.788675,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1994,1.11046854,2947.027033,5.691999912,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.670000076,5.553999901,2673.740734,2589.343113,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1995,0.982354086,3107.114356,5.698999882,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.691999912,5.670000076,2947.027033,2673.740734,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1996,0.947494663,3135.414596,5.717000008,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.698999882,5.691999912,3107.114356,2947.027033,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1997,0.923316006,3277.955736,5.703000069,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.717000008,5.698999882,3135.414596,3107.114356,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1998,0.91120159,3208.224499,5.698999882,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.703000069,5.717000008,3277.955736,3135.414596,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,1999,0.858543124,3203.713757,5.757999897,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.698999882,5.703000069,3208.224499,3277.955736,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2000,0.809355791,3242.579157,5.736000061,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.757999897,5.698999882,3203.713757,3208.224499,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2001,0.74121484,3221.302547,5.734000206,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.736000061,5.757999897,3242.579157,3203.713757,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2002,0.707145933,3359.162687,5.798999786,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.734000206,5.736000061,3221.302547,3242.579157,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2003,0.704810703,3464.396878,4.788000107,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.798999786,5.734000206,3359.162687,3221.302547,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2004,0.703101,3602.999725,4.901000023,Not a Crime,Latin America & Caribbean,0,Normal,No,No,4.788000107,5.798999786,3464.396878,3359.162687,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2005,0.712193519,3796.2034,4.860000134,Not a Crime,Latin America & Caribbean,0,Normal,No,No,4.901000023,4.788000107,3602.999725,3464.396878,Lower-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2006,0.698613221,4047.748036,4.260000229,Not a Crime,Latin America & Caribbean,0,Normal,No,No,4.860000134,4.901000023,3796.2034,3602.999725,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2007,0.666535579,4356.738965,4.188000202,Not a Crime,Latin America & Caribbean,0,Normal,No,No,4.260000229,4.860000134,4047.748036,3796.2034,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2008,0.677661489,4716.197262,4.05700016,Not a Crime,Latin America & Caribbean,0,Normal,No,No,4.188000202,4.260000229,4356.738965,4047.748036,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2009,0.726130222,4729.735977,3.900000095,Not a Crime,Latin America & Caribbean,0,Normal,No,No,4.05700016,4.188000202,4716.197262,4356.738965,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2010,0.781087684,5082.354757,3.477999926,Not a Crime,Latin America & Caribbean,0,Normal,No,No,3.900000095,4.05700016,4729.735977,4716.197262,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2011,0.850881822,5360.226632,3.441999912,Not a Crime,Latin America & Caribbean,0,Normal,No,No,3.477999926,3.900000095,5082.354757,4729.735977,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2012,0.822229393,5642.578115,3.108999968,Not a Crime,Latin America & Caribbean,0,Normal,No,No,3.441999912,3.477999926,5360.226632,5082.354757,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2013,0.79141835,5919.209568,3.236999989,Not a Crime,Latin America & Caribbean,0,Normal,No,No,3.108999968,3.441999912,5642.578115,5360.226632,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2014,0.733233521,5996.496965,2.961999893,Not a Crime,Latin America & Caribbean,0,Normal,No,No,3.236999989,3.108999968,5919.209568,5642.578115,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2015,0.689353011,6114.227214,3,Not a Crime,Latin America & Caribbean,0,Normal,No,No,2.961999893,3.236999989,5996.496965,5919.209568,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2016,0.684477898,6262.368905,3.535000086,Not a Crime,Latin America & Caribbean,0,Normal,No,No,3,2.961999893,6114.227214,5996.496965,Upper-Middle
Deaths,Peru,Female,10 to 14,Self-harm,Rate,2017,0.620857006,6314.291438,3.460000038,Not a Crime,Latin America & Caribbean,0,Normal,No,No,3.535000086,3,6262.368905,6114.227214,Upper-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1991,4.548969384,2654.788675,5.495999813,Not a Crime,Latin America & Caribbean,0,Normal,No,No,NA,NA,NA,NA,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1992,5.185334533,2589.343113,5.553999901,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.495999813,NA,2654.788675,NA,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1993,5.61041727,2673.740734,5.670000076,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.553999901,5.495999813,2589.343113,2654.788675,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1994,5.848270616,2947.027033,5.691999912,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.670000076,5.553999901,2673.740734,2589.343113,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1995,5.704660218,3107.114356,5.698999882,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.691999912,5.670000076,2947.027033,2673.740734,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1996,5.521249557,3135.414596,5.717000008,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.698999882,5.691999912,3107.114356,2947.027033,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1997,5.376516415,3277.955736,5.703000069,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.717000008,5.698999882,3135.414596,3107.114356,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1998,5.333709936,3208.224499,5.698999882,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.703000069,5.717000008,3277.955736,3135.414596,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,1999,4.946186596,3203.713757,5.757999897,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.698999882,5.703000069,3208.224499,3277.955736,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,2000,4.580270629,3242.579157,5.736000061,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.757999897,5.698999882,3203.713757,3208.224499,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,2001,4.243389697,3221.302547,5.734000206,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.736000061,5.757999897,3242.579157,3203.713757,Lower-Middle
Deaths,Peru,Female,15 to 19,Self-harm,Rate,2002,4.050604547,3359.162687,5.798999786,Not a Crime,Latin America & Caribbean,0,Normal,No,No,5.734000206,5.736000061,3221.302547,3242.579157,Lower-Middle
